Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
11/13/15,91,69,New Mexico State,Houston Baptist,1,277,-10.39,251,-4.8,-10.39,98.19,111.05,76.6,75.9,72.3,0.295,0.566,17.9,0.327,0.531,14.8,111,6.13,113,3.3,3.59,102.2,95.54,71.3,63.1,66.6,0.28,0.539,17,0.32,0.476,14.3
11/13/15,71,60,San Diego State,Illinois State,1,120,4.63,135,1.8,3.4,102.57,95.78,67.2,66.1,67.7,0.385,0.508,16.1,0.369,0.515,17.5,46,14.35,60,7.5,11.89,104.7,86.56,68.6,60.6,66.2,0.327,0.516,15.6,0.355,0.469,15.8
11/13/15,78,64,Valparaiso,Purdue-Fort Wayne,1,135,3.17,137,1.8,0,107.29,105.95,79.4,76,70.4,0.428,0.578,15.1,0.354,0.553,14.2,42,15.46,34,10.7,10.71,104.97,88.28,75.2,62.8,68.7,0.381,0.547,15.8,0.331,0.477,16.3
11/13/15,72,70,Indiana State,IUPUI,0,207,-4.05,247,-4.7,-5.86,95.92,102.23,68.2,73.8,70,0.295,0.508,16.6,0.301,0.545,15.7,168,-0.37,184,-1,0.04,97.42,96.19,67.8,69.4,70,0.38,0.496,16.2,0.331,0.514,15.7
11/13/15,80,52,Oregon,Jackson State,1,240,-6.53,236,-4,-8.66,90.7,101.28,68.2,65.3,68.3,0.354,0.487,15,0.356,0.5,18.1,12,22.68,22,13,18.05,118.31,91.71,78.7,68.8,69.5,0.34,0.562,13.9,0.343,0.517,17.4
11/13/15,89,83,Central Michigan,Jacksonville State,1,296,-12.58,297,-7.8,-10.26,95.44,108.67,67.7,72.1,66.6,0.396,0.509,13.8,0.322,0.553,16.1,158,0.51,140,1.4,-0.67,108.36,107.48,75.6,72.8,67.4,0.467,0.554,11.9,0.343,0.535,13.7
11/13/15,87,75,Richmond,James Madison,0,91,8.5,93,4.8,6.17,106.31,96.22,75.2,68.7,67.9,0.419,0.554,14.9,0.424,0.5,13.5,99,7.7,91,5,7.28,113.76,102.18,76.6,73.8,68.8,0.365,0.568,13.2,0.324,0.543,15.6
11/13/15,77,64,Alabama,Kennesaw State,1,261,-8.57,283,-7,-8.58,97.82,108.37,72.2,77.4,70.4,0.278,0.527,16,0.351,0.556,15.6,96,8.07,99,4.5,7.14,104.74,93.72,66.5,67.9,66.1,0.436,0.525,17.3,0.342,0.503,15.3
11/13/15,85,76,George Washington,Lafayette,1,326,-16.42,325,-9.9,-15,95.42,115.4,71.4,80.4,69.7,0.385,0.535,16.3,0.364,0.562,14.3,53,13.86,43,9.7,11.43,113.59,96.2,75.7,68.5,67.5,0.331,0.553,14.1,0.357,0.518,15.2
11/13/15,57,47,Syracuse,Lehigh,1,191,-2.71,170,-0.2,-4.42,100.86,105.95,70.9,69.1,67.2,0.34,0.554,16.9,0.386,0.534,16.2,27,18.57,32,11,14.62,112.35,89.41,70,65.1,64.9,0.421,0.533,15.3,0.397,0.5,16.9
11/13/15,65,63,Santa Clara,Lipscomb,0,274,-10.14,266,-5.8,-8.85,98.56,109.24,78.5,81.5,73.8,0.457,0.552,16.3,0.401,0.559,15.5,244,-7.07,232,-3.9,-4.67,99.93,105.48,67.2,73.3,66.4,0.388,0.515,14.8,0.396,0.546,14.4
11/13/15,78,73,Wake Forest,Maryland-Baltimore County,1,334,-17.79,324,-9.9,-15.37,96.3,116.72,72.1,80.6,70.7,0.365,0.537,15.6,0.367,0.598,17,118,4.78,116,3.2,5.53,107.23,97.65,74,79,71.9,0.343,0.528,17.2,0.326,0.538,13
11/13/15,80,53,Kansas State,Maryland-Eastern Shore,1,318,-15.28,321,-9.7,-14.23,93.29,111.76,68.1,75,68.3,0.356,0.538,20.2,0.386,0.568,16.6,55,13.46,63,7.4,12.31,108.87,90.25,70.7,68.2,67.5,0.311,0.518,16.9,0.363,0.528,18.1
11/13/15,79,57,Northwestern,Massachusetts-Lowell,1,315,-14.99,311,-8.6,-13.59,96.71,114.25,76.6,82.8,74.3,0.387,0.564,18.8,0.352,0.574,16.6,68,11.04,64,7.3,10.16,112.15,95.4,72,66,64.4,0.417,0.546,13.6,0.369,0.507,14.2
11/13/15,81,72,Xavier,Miami (OH),1,247,-7.25,258,-5.3,-5.91,95.47,102.95,63.3,68.2,65.6,0.327,0.5,16.1,0.423,0.552,18.3,14,22.52,16,14.1,18.58,116.92,89.75,80.5,70.4,72.4,0.342,0.556,14.8,0.405,0.513,16.9
11/13/15,71,58,Denver,Milwaukee,0,114,5.2,111,3.6,2.89,110.23,104.34,79.3,72.5,68.5,0.437,0.577,13.8,0.319,0.536,13.9,195,-2.92,185,-1,-3.34,101.39,105.11,65.2,65.3,62.7,0.423,0.594,19.2,0.352,0.567,19.8
11/13/15,76,58,Minnesota,Missouri-Kansas City,1,250,-7.48,271,-6.3,-6.31,100.14,107.81,69.4,72.3,67.7,0.338,0.524,16.8,0.381,0.544,15.5,192,-2.77,181,-1,0.86,101.43,99.03,68,74,68.4,0.345,0.502,14.4,0.344,0.552,15.5
11/13/15,80,65,Oral Roberts,Missouri State,1,224,-5.38,256,-5.2,-3.52,99.1,102.63,67.3,72.5,69.1,0.293,0.499,15.9,0.356,0.541,15.5,174,-0.99,190,-1.3,-2.69,104.97,107.15,76,76.9,71.2,0.282,0.551,14.9,0.324,0.544,13.8
11/13/15,84,81,UCLA,Monmouth,0,95,8.1,84,5.7,5.29,104.68,96.43,79.5,72.3,73.9,0.348,0.546,14.5,0.418,0.502,17.2,69,10.75,88,5.3,10.48,112.81,96.79,77.5,76.7,71.6,0.273,0.533,14.4,0.378,0.528,13.8
11/13/15,87,76,Hawaii,Montana State,1,246,-7.2,248,-4.7,-6.91,103.74,111.73,76.4,77.8,70.1,0.416,0.538,14.6,0.363,0.572,14.7,60,12.16,117,2.9,9.03,107.63,93.57,77.1,66.7,71.6,0.379,0.555,15.8,0.35,0.5,18
11/13/15,73,56,Coastal Carolina,Nevada,0,124,3.94,130,2,2.85,100.96,95.23,75.7,72.1,72.3,0.287,0.521,15.2,0.35,0.496,15,176,-1.09,143,1.3,-1.85,99.38,100.62,73,66.5,68.3,0.375,0.539,15.4,0.414,0.486,13.8
11/13/15,67,50,Old Dominion,Niagara,1,308,-14.17,299,-7.9,-11.26,91.16,106.06,64.6,72,67.3,0.323,0.489,17.9,0.363,0.532,14.6,100,7.52,110,3.6,4.66,104.56,95.67,68.5,61.6,62.8,0.237,0.51,11.9,0.365,0.498,15
11/13/15,82,78,Tennessee,North Carolina-Asheville,1,131,3.44,121,2.7,1.1,99.46,96.98,75.1,68,70.4,0.306,0.541,15.9,0.361,0.514,19,103,7.31,97,4.6,7.8,109.98,97.98,75.1,75.2,70.9,0.362,0.519,13.4,0.349,0.522,14.6
11/13/15,74,40,Clemson,North Carolina Central,1,302,-13.35,296,-7.8,-13,93.28,109.98,69.4,69.8,67.8,0.319,0.52,17.2,0.369,0.53,16.7,45,14.38,44,9.7,12.03,112.51,93,69.6,64.5,63.7,0.393,0.54,13.6,0.338,0.51,15.4
11/13/15,79,71,UC-Davis,North Dakota State,0,145,2.07,148,1.1,-0.93,99.61,98.84,68.8,64.5,65.8,0.343,0.533,14,0.313,0.507,15.3,241,-6.64,260,-5.3,-5.58,92.43,99.24,63.8,66,67.1,0.288,0.511,18.6,0.37,0.506,17.3
11/13/15,93,81,Illinois,North Florida,0,177,-1.19,172,-0.3,-1.41,111.33,111.91,84.3,79.5,72.4,0.485,0.607,14,0.269,0.531,12.6,125,3.91,122,2.6,4.39,107.17,99.78,72.1,74.8,68.6,0.383,0.537,13.5,0.384,0.561,16.8
11/13/15,87,84,Boston University,Northeastern,0,132,3.38,131,2,1.6,105.35,101.59,72,70.9,66,0.426,0.555,16,0.339,0.534,15.3,231,-5.88,215,-2.6,-6.79,99.08,107.13,73,72.5,69.4,0.395,0.559,17.4,0.37,0.528,14.8
11/13/15,82,70,Washington State,Northern Arizona,1,343,-20.65,332,-11.4,-18.29,89.57,113.7,68.5,81.3,71,0.372,0.503,16,0.382,0.58,15.2,186,-2.19,206,-2.3,0.5,102.86,101.27,70.5,77.2,70.4,0.301,0.541,17.9,0.311,0.54,13.1
11/13/15,107,61,West Virginia,Northern Kentucky,1,255,-7.66,244,-4.6,-6.87,98.38,106.69,70.5,74.4,69.4,0.382,0.535,17,0.325,0.542,14.4,8,24.45,7,16.5,21.61,116.24,85.43,78.5,66.7,70.7,0.306,0.536,16.3,0.363,0.54,22.4
