Team,KenPomRank,KenPomVal,BPIrank,BPIval,SRS,o_eff,d_eff,ppg,papg,Pace,Three_Par,True_Shoot,Tov,Opp_Three_Par,Opp_True_Shoot,Opp_Tov,record_date
"['Illinois St.', 'Illinois State', 'Illinois State']",239,-6.83,248,-3.4,,,,,,,,,,,,,2020-11-25 08:34:57.970270
"['Incarnate Word', 'Incarnate Word', 'Incarnate Word']",345,-19.69,332,-7.9,,,,,,,,,,,,,2020-11-25 08:34:57.970325
"['Indiana', 'Indiana', 'Indiana']",26,+18.96,31,7.7,,,,,,,,,,,,,2020-11-25 08:34:57.970160
"['Indiana St.', 'Indiana State', 'Indiana State']",135,+2.28,181,-0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970217
"['Iona', 'Iona', 'Iona']",263,-8.26,219,-2.4,,,,,,,,,,,,,2020-11-25 08:34:57.970283
"['Iowa', 'Iowa', 'Iowa']",13,+21.23,2,11.8,,,,,,,,,,,,,2020-11-25 08:34:57.970153
"['Iowa St.', 'Iowa State', 'Iowa State']",67,+12.72,35,7.2,,,,,,,,,,,,,2020-11-25 08:34:57.970181
"['Jackson St.', 'Jackson State', 'Jackson State']",308,-11.24,233,-2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970306
"['Jacksonville', 'Jacksonville', 'Jacksonville']",315,-11.75,251,-3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970310
"['Jacksonville St.', 'Jacksonville State', 'Jacksonville State']",304,-11.06,276,-4.5,,,,,,,,,,,,,2020-11-25 08:34:57.970304
"['James Madison', 'James Madison', 'James Madison']",272,-8.64,145,0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970288
"['Kansas', 'Kansas', 'Kansas']",5,+24.32,9,10.6,,,,,,,,,,,,,2020-11-25 08:34:57.970149
"['Kansas St.', 'Kansas State', 'Kansas State']",114,+5.26,111,2.8,,,,,,,,,,,,,2020-11-25 08:34:57.970206
"['Kennesaw St.', 'Kennesaw State', 'Kennesaw State']",352,-22.01,340,-10.3,,,,,,,,,,,,,2020-11-25 08:34:57.970329
"['Kent St.', 'Kent State', 'Kent State']",174,-1.68,259,-3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970237
"['Kentucky', 'Kentucky', 'Kentucky']",12,+21.24,55,6.3,,,,,,,,,,,,,2020-11-25 08:34:57.970152
"['LIU', 'Long Island University', 'Long Island University']",282,-9.41,254,-3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970293
"['LSU', 'LSU', 'Louisiana State']",37,+17.40,26,8.1,,,,,,,,,,,,,2020-11-25 08:34:57.970165
"['La Salle', 'La Salle', 'La Salle']",150,+1.05,153,0.3,,,,,,,,,,,,,2020-11-25 08:34:57.970224
"['Lafayette', 'Lafayette', 'Lafayette']",226,-5.84,201,-1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970264
"['Lamar', 'Lamar', 'Lamar']",245,-7.21,238,-3.1,,,,,,,,,,,,,2020-11-25 08:34:57.970274
"['Lehigh', 'Lehigh', 'Lehigh']",297,-10.52,321,-7.1,,,,,,,,,,,,,2020-11-25 08:34:57.970301
"['Liberty', 'Liberty', 'Liberty']",166,-0.95,133,1.4,,,,,,,,,,,,,2020-11-25 08:34:57.970233
"['Lipscomb', 'Lipscomb', 'Lipscomb']",171,-1.53,220,-2.5,,,,,,,,,,,,,2020-11-25 08:34:57.970236
"['Little Rock', 'Little Rock', 'Little Rock']",134,+2.46,189,-1.2,,,,,,,,,,,,,2020-11-25 08:34:57.970216
"['Long Beach St.', 'Long Beach State', 'Cal State Long Beach']",216,-5.12,212,-2.2,,,,,,,,,,,,,2020-11-25 08:34:57.970259
"['Longwood', 'Longwood', 'Longwood']",327,-14.00,307,-6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970316
"['Louisiana', 'Louisiana', 'Louisiana']",160,-0.50,272,-4.3,,,,,,,,,,,,,2020-11-25 08:34:57.970230
"['Louisiana Monroe', 'UL Monroe', 'Louisiana-Monroe']",266,-8.46,334,-8.6,,,,,,,,,,,,,2020-11-25 08:34:57.970285
"['Louisiana Tech', 'Louisiana Tech', 'Louisiana Tech']",109,+5.86,108,3.0,,,,,,,,,,,,,2020-11-25 08:34:57.970203
"['Louisville', 'Louisville', 'Louisville']",28,+18.47,59,6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970161
"['Loyola Chicago', 'Loyola Chicago', 'Loyola (IL)']",47,+15.49,52,6.4,,,,,,,,,,,,,2020-11-25 08:34:57.970171
"['Loyola MD', 'Loyola (MD)', 'Loyola (MD)']",249,-7.38,231,-2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970276
"['Loyola Marymount', 'Loyola Marymount', 'Loyola Marymount']",146,+1.32,112,2.8,,,,,,,,,,,,,2020-11-25 08:34:57.970222
"['Maine', 'Maine', 'Maine']",348,-20.38,308,-6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970327
"['Manhattan', 'Manhattan', 'Manhattan']",288,-10.02,193,-1.4,,,,,,,,,,,,,2020-11-25 08:34:57.970296
"['Marist', 'Marist', 'Marist']",242,-7.10,244,-3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970272
"['Marquette', 'Marquette', 'Marquette']",36,+17.74,61,6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970165
"['Marshall', 'Marshall', 'Marshall']",99,+7.37,80,4.5,,,,,,,,,,,,,2020-11-25 08:34:57.970198
"['Maryland', 'Maryland', 'Maryland']",51,+15.02,63,5.7,,,,,,,,,,,,,2020-11-25 08:34:57.970173
"['Maryland Eastern Shore', 'Maryland-Eastern Shore']",356,-25.73,,,,,,,,,,,,,,,2020-11-25 08:34:57.970331
"['Massachusetts', 'UMass', 'Massachusetts']",124,+3.85,123,2.2,,,,,,,,,,,,,2020-11-25 08:34:57.970211
"['McNeese St.', 'McNeese', 'McNeese State']",323,-13.13,275,-4.5,,,,,,,,,,,,,2020-11-25 08:34:57.970314
"['Memphis', 'Memphis', 'Memphis']",39,+16.98,54,6.3,,,,,,,,,,,,,2020-11-25 08:34:57.970166
"['Mercer', 'Mercer', 'Mercer']",189,-2.81,150,0.5,,,,,,,,,,,,,2020-11-25 08:34:57.970245
"['Merrimack', 'Merrimack', 'Merrimack']",303,-10.99,205,-1.9,,,,,,,,,,,,,2020-11-25 08:34:57.970304
"['Miami FL', 'Miami', 'Miami (FL)']",41,+16.67,47,6.7,,,,,,,,,,,,,2020-11-25 08:34:57.970168
"['Miami OH', 'Miami (OH)', 'Miami (OH)']",173,-1.56,232,-2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970237
"['Michigan', 'Michigan', 'Michigan']",15,+20.95,17,9.1,,,,,,,,,,,,,2020-11-25 08:34:57.970154
"['Michigan St.', 'Michigan State', 'Michigan State']",11,+21.76,6,10.9,,,,,,,,,,,,,2020-11-25 08:34:57.970152
"['Middle Tennessee', 'Middle Tennessee', 'Middle Tennessee']",184,-2.59,151,0.4,,,,,,,,,,,,,2020-11-25 08:34:57.970242
"['Milwaukee', 'Milwaukee', 'Milwaukee']",285,-9.92,216,-2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970294
"['Minnesota', 'Minnesota', 'Minnesota']",30,+18.27,39,6.9,,,,,,,,,,,,,2020-11-25 08:34:57.970162
"['Mississippi', 'Ole Miss', 'Mississippi']",42,+16.48,53,6.4,,,,,,,,,,,,,2020-11-25 08:34:57.970168
"['Mississippi St.', 'Mississippi State', 'Mississippi State']",77,+10.61,58,6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970187
"['Mississippi Valley St.', 'Mississippi Valley State', 'Mississippi Valley State']",357,-30.64,347,-13.9,,,,,,,,,,,,,2020-11-25 08:34:57.970332
"['Missouri', 'Missouri', 'Missouri']",59,+14.31,66,5.4,,,,,,,,,,,,,2020-11-25 08:34:57.970177
"['Missouri St.', 'Missouri State', 'Missouri State']",168,-1.20,166,-0.4,,,,,,,,,,,,,2020-11-25 08:34:57.970234
"['Monmouth', 'Monmouth', 'Monmouth']",182,-2.46,175,-0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970241
"['Montana', 'Montana', 'Montana']",157,-0.10,167,-0.4,,,,,,,,,,,,,2020-11-25 08:34:57.970228
"['Montana St.', 'Montana State', 'Montana State']",220,-5.25,226,-2.7,,,,,,,,,,,,,2020-11-25 08:34:57.970261
"['Morehead St.', 'Morehead State', 'Morehead State']",318,-12.33,242,-3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970311
"['Morgan St.', 'Morgan State', 'Morgan State']",331,-15.02,200,-1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970318
"[""Mount St. Mary's"", ""Mount St. Mary's"", ""Mount St. Mary's""]",260,-8.10,264,-4.0,,,,,,,,,,,,,2020-11-25 08:34:57.970281
"['Murray St.', 'Murray State', 'Murray State']",94,+8.02,86,4.2,,,,,,,,,,,,,2020-11-25 08:34:57.970195
"['N.C. State', 'NC State', 'North Carolina State']",55,+14.91,22,8.7,,,,,,,,,,,,,2020-11-25 08:34:57.970175
"['NJIT', 'NJIT', 'NJIT']",200,-3.37,198,-1.6,,,,,,,,,,,,,2020-11-25 08:34:57.970251
"['Navy', 'Navy', 'Navy']",194,-3.03,211,-2.2,,,,,,,,,,,,,2020-11-25 08:34:57.970247
"['Nebraska', 'Nebraska', 'Nebraska']",117,+4.64,98,3.6,,,,,,,,,,,,,2020-11-25 08:34:57.970207
"['Nebraska Omaha', 'Omaha', 'Omaha']",183,-2.51,187,-1.2,,,,,,,,,,,,,2020-11-25 08:34:57.970242
"['Nevada', 'Nevada', 'Nevada']",120,+4.39,130,1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970209
"['New Hampshire', 'New Hampshire', 'New Hampshire']",201,-3.45,207,-2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970251
"['New Mexico', 'New Mexico', 'New Mexico']",217,-5.13,204,-1.8,,,,,,,,,,,,,2020-11-25 08:34:57.970259
"['New Mexico St.', 'New Mexico State', 'New Mexico State']",103,+6.49,95,3.8,,,,,,,,,,,,,2020-11-25 08:34:57.970200
"['New Orleans', 'New Orleans', 'New Orleans']",313,-11.65,247,-3.4,,,,,,,,,,,,,2020-11-25 08:34:57.970309
"['Niagara', 'Niagara', 'Niagara']",252,-7.54,206,-1.9,,,,,,,,,,,,,2020-11-25 08:34:57.970277
"['Nicholls St.', 'Nicholls', 'Nicholls State']",241,-7.08,164,-0.3,,,,,,,,,,,,,2020-11-25 08:34:57.970271
